,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_max_price,params_max_reserve_capacity_fraction,params_n_epochs,params_n_steps,state
82,82,3120.7,2023-01-25 22:01:23.683854,2023-01-25 22:20:36.533630,0 days 00:19:12.849776,1.0965970477544888e-05,0.886315225852178,0.7241069977062738,5.0,0.5,2,159,COMPLETE
83,83,3183.102,2023-01-25 22:01:35.012421,2023-01-25 22:26:18.832672,0 days 00:24:43.820251,2.2443609421651727e-07,0.8686274765701385,0.988356941824857,16.5,0.5,9,762,COMPLETE
84,84,3500.1,2023-01-25 22:20:36.549255,2023-01-25 22:47:02.815093,0 days 00:26:26.265838,5.4505332649846756e-05,0.926282752596318,0.3307681068041338,15.0,0.5,9,1471,COMPLETE
85,85,2993.1000000000004,2023-01-25 22:26:18.848268,2023-01-25 22:49:36.307845,0 days 00:23:17.459577,0.00012235910466896924,0.9537453424471991,0.7877130470458241,6.0,0.5,4,1433,COMPLETE
86,86,3339.454,2023-01-25 22:47:02.940317,2023-01-25 23:16:56.037682,0 days 00:29:53.097365,2.7791375498751246e-05,0.9238408125658288,0.11776723778143548,16.5,0.5,11,1511,COMPLETE
87,87,3010.06,2023-01-25 22:49:36.307845,2023-01-25 23:08:40.922618,0 days 00:19:04.614773,4.276468225259433e-05,0.9146455154770019,0.20037934145292802,12.5,0.45000000000000007,4,849,COMPLETE
88,88,3596.1399999999994,2023-01-25 23:08:40.946936,2023-01-25 23:28:55.506488,0 days 00:20:14.559552,1.4916199261666771e-06,0.9221483425001443,0.6042729557495566,9.5,0.5,9,1265,COMPLETE
89,89,3415.1399999999994,2023-01-25 23:16:56.195843,2023-01-25 23:43:40.070412,0 days 00:26:43.874569,2.9629294550328488e-05,0.9035068348572313,0.03377409566540501,19.5,0.5,13,1410,COMPLETE
90,90,2840.5,2023-01-25 23:28:55.518698,2023-01-25 23:49:55.923191,0 days 00:21:00.404493,2.9881878162904303e-05,0.9068538557066408,0.3671509620008768,18.0,0.45000000000000007,13,1230,PRUNED
91,91,3670.8,2023-01-25 23:43:40.082559,2023-01-26 00:10:44.228706,0 days 00:27:04.146147,0.0005786611857921733,0.8757263113452977,0.05500934020666769,11.5,0.5,18,1445,COMPLETE
92,92,2750.7200000000003,2023-01-25 23:49:55.977392,2023-01-26 00:07:10.072158,0 days 00:17:14.094766,2.3463004284321013e-06,0.914988441603171,0.1801811350675945,28.5,0.5,10,1774,PRUNED
93,93,3569.0879999999997,2023-01-26 00:07:10.103414,2023-01-26 00:31:02.788229,0 days 00:23:52.684815,1.149019556073964e-05,0.9431400421234716,0.940149832533071,9.0,0.45000000000000007,13,1083,COMPLETE
94,94,3023.1140000000005,2023-01-26 00:10:44.228706,2023-01-26 00:34:35.337541,0 days 00:23:51.108835,0.0016496161145304867,0.8812614360766569,0.0035374177907223883,27.5,0.5,13,785,COMPLETE
95,95,3185.956,2023-01-26 00:31:02.803858,2023-01-26 00:55:36.187248,0 days 00:24:33.383390,0.009700919936582838,0.863586460817509,0.011591654777514553,5.5,0.45000000000000007,22,1754,COMPLETE
96,96,3104.9139999999998,2023-01-26 00:34:35.353769,2023-01-26 01:05:26.624694,0 days 00:30:51.270925,0.007082316089223772,0.8666916952454599,0.04767649871132133,21.5,0.35,23,1607,COMPLETE
97,97,3175.1700000000005,2023-01-26 00:55:36.187248,2023-01-26 01:25:04.144729,0 days 00:29:27.957481,0.013484978046544359,0.8906428671502565,0.003954701976103104,17.0,0.5,18,1238,COMPLETE
98,98,3081.636,2023-01-26 01:05:26.624694,2023-01-26 01:29:28.760605,0 days 00:24:02.135911,0.0003001989428321203,0.9503817764224832,0.0028126778266106536,16.5,0.5,11,1175,COMPLETE
99,99,3202.49,2023-01-26 01:25:04.238478,2023-01-26 01:36:43.138888,0 days 00:11:38.900410,0.00024839823558121696,0.9496429283968784,0.016777042290752567,16.0,0.45000000000000007,9,1314,COMPLETE
