,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_max_price,params_max_reserve_capacity_fraction,params_n_epochs,params_n_steps,state
40,40,4028.8,2023-02-01 23:17:06.050931,2023-02-02 00:14:57.605408,0 days 00:57:51.554477,0.0003589302300286273,0.8562721544965833,0.044837781697142885,17.0,0.5,23,653,COMPLETE
41,41,2618.336,2023-02-01 23:47:34.935647,2023-02-02 00:55:19.909705,0 days 01:07:44.974058,0.0003932588694514354,0.8751700889494304,0.004156510501714143,15.5,0.45000000000000007,23,131,COMPLETE
42,42,4801.9,2023-02-02 00:14:57.605408,2023-02-02 01:08:16.842449,0 days 00:53:19.237041,2.6540697822118396e-06,0.8605735178169576,0.1331742031963024,15.5,0.4,23,518,COMPLETE
43,43,,2023-02-02 00:55:19.909705,2023-02-02 00:57:58.476812,0 days 00:02:38.567107,0.009196808318550508,0.8877193269994156,0.9747707670586343,26.5,0.4,24,245,PRUNED
44,44,2578.0,2023-02-02 00:57:58.517305,2023-02-02 01:56:49.743132,0 days 00:58:51.225827,6.81309961052505e-05,0.8603390060146776,0.02838000786979149,25.5,0.45000000000000007,23,531,COMPLETE
45,45,1680.45,2023-02-02 01:08:16.881449,2023-02-02 02:03:53.953034,0 days 00:55:37.071585,1.0906601410326317e-06,0.850095993966595,0.05779933159775442,15.5,0.4,21,573,COMPLETE
46,46,3602.0,2023-02-02 01:56:49.758758,2023-02-02 03:00:04.387207,0 days 01:03:14.628449,6.002772809132748e-06,0.8517583577202767,0.7659826554491578,10.0,0.45000000000000007,25,839,COMPLETE
47,47,5210.8,2023-02-02 02:03:53.979199,2023-02-02 02:57:46.850614,0 days 00:53:52.871415,0.00010289376753468839,0.891474442306873,0.27473023465867813,14.0,0.5,18,1028,COMPLETE
48,48,2217.8540000000003,2023-02-02 02:57:46.875172,2023-02-02 03:52:21.683353,0 days 00:54:34.808181,0.0004092459896828972,0.8777217684833347,0.13220924653213442,17.5,0.45000000000000007,18,1719,COMPLETE
49,49,2664.9,2023-02-02 03:00:04.541891,2023-02-02 04:02:47.958497,0 days 01:02:43.416606,0.00013225952940549516,0.8940933302132703,0.3008314082494481,10.5,0.5,18,1188,COMPLETE
50,50,861.2,2023-02-02 03:52:21.683353,2023-02-02 04:45:51.160402,0 days 00:53:29.477049,0.002354624133116062,0.8739499112573422,0.10572124842850023,5.0,0.5,23,1013,PRUNED
51,51,892.1,2023-02-02 04:02:47.958497,2023-02-02 04:59:43.779335,0 days 00:56:55.820838,2.985967291548409e-06,0.8641502482841227,0.6016397233567599,5.5,0.45000000000000007,19,650,PRUNED
52,52,845.2,2023-02-02 04:45:51.160402,2023-02-02 05:41:55.937722,0 days 00:56:04.777320,7.336295325629154e-07,0.9061234789620833,0.07550188953741316,10.5,0.5,23,419,PRUNED
53,53,2643.9,2023-02-02 04:59:43.837916,2023-02-02 06:05:35.191241,0 days 01:05:51.353325,8.303073743778004e-06,0.8718492025423709,0.048379413539748506,10.5,0.35,25,1137,COMPLETE
54,54,1955.8580000000002,2023-02-02 05:41:55.953356,2023-02-02 06:52:38.407173,0 days 01:10:42.453817,1.7748256995708679e-06,0.8717967233268047,0.114216109207462,13.0,0.4,25,830,COMPLETE
55,55,1875.804,2023-02-02 06:05:35.191241,2023-02-02 07:02:06.454417,0 days 00:56:31.263176,0.00019631474331246491,0.8968796346363895,0.07649438356839197,20.5,0.5,9,1171,COMPLETE
56,56,2916.626,2023-02-02 06:52:38.423365,2023-02-02 07:50:33.345762,0 days 00:57:54.922397,0.00044047868454466103,0.8744907025787031,0.037062805275040786,18.5,0.4,19,877,COMPLETE
57,57,3556.9519999999998,2023-02-02 07:02:06.578034,2023-02-02 08:05:51.267348,0 days 01:03:44.689314,5.338714730827094e-05,0.8565572455642136,0.0006388246157264885,17.5,0.5,20,958,COMPLETE
58,58,3876.818,2023-02-02 07:50:33.345762,2023-02-02 08:46:01.476627,0 days 00:55:28.130865,0.002114826072997104,0.8627705839720964,0.00422674837205913,15.0,0.5,14,215,COMPLETE
59,59,5144.6,2023-02-02 08:05:51.267348,2023-02-02 09:08:57.430159,0 days 01:03:06.162811,6.07835226182334e-06,0.8572308918936107,0.35897191578911364,14.5,0.5,23,606,COMPLETE
60,60,4080.054,2023-02-02 08:46:01.476627,2023-02-02 09:41:49.193530,0 days 00:55:47.716903,0.002489762174701954,0.8795025327471966,0.0030416194266282776,15.5,0.5,13,325,COMPLETE
61,61,4333.634,2023-02-02 09:08:57.430159,2023-02-02 10:05:35.900796,0 days 00:56:38.470637,0.005603152583904839,0.9231471256577716,0.027729614935678052,12.5,0.5,11,309,COMPLETE
62,62,3686.532,2023-02-02 09:41:49.248323,2023-02-02 10:35:46.682955,0 days 00:53:57.434632,0.003099306046911058,0.8516849922152584,0.0008917307819997609,17.0,0.5,8,671,COMPLETE
63,63,1486.4,2023-02-02 10:05:35.947672,2023-02-02 11:01:32.332165,0 days 00:55:56.384493,0.002783175046415131,0.9487994892816635,0.1541186116628494,11.5,0.5,15,341,PRUNED
64,64,6666.6,2023-02-02 10:35:46.698589,2023-02-02 11:39:30.212541,0 days 01:03:43.513952,7.1799908574637015e-06,0.871728100847225,0.1271416269557191,20.5,0.5,23,593,COMPLETE
